city_id,grid_id,zone_name,latitude,longitude,elevation_m,slope_deg,flow_accumulation,drainage_density,distance_to_water_m,distance_to_budameru_m,distance_to_krishna_m,land_cover_class,impervious_surface_ratio,road_density_km_km2,building_density,historical_flood_count,historical_flood_frequency,historical_flooded_area_pct
VJA,VJA_0024,Patamata / Benz Circle,16.45225,80.67045,20.5,4.89,22.4,1.4,3958.4,3958.4,3958.4,Urban Medium Density,0.69,5.74,0.59,0,0.0,0.0
VJA,VJA_0025,Patamata / Benz Circle,16.45225,80.67515,20.7,5.34,21.7,1.56,3663.5,3663.5,3663.5,Urban Medium Density,0.63,7.0,0.53,0,0.0,0.0
VJA,VJA_0026,Patamata / Benz Circle,16.45225,80.67985,25.2,8.6,5.0,1.76,3319.1,3319.1,3319.1,Urban Medium Density,0.46,7.37,0.49,0,0.0,0.0
VJA,VJA_0027,Patamata / Benz Circle,16.45225,80.68455,24.2,5.92,7.8,1.92,3018.9,3018.9,3018.9,Urban Medium Density,0.57,5.92,0.57,0,0.0,0.0
VJA,VJA_0028,Patamata / Benz Circle,16.45225,80.68925,24.3,5.27,7.4,2.06,2777.3,2777.3,2777.3,Peri-Urban / Open Land,0.28,3.34,0.34,0,0.0,0.0
VJA,VJA_0029,Patamata / Benz Circle,16.45225,80.69395,24.7,7.65,5.9,2.15,2610.7,2610.7,2610.7,Peri-Urban / Open Land,0.31,4.19,0.27,0,0.0,0.0
VJA,VJA_0030,Patamata / Benz Circle,16.45225,80.69865,23.3,5.17,11.5,2.19,2533.8,2533.8,2533.8,Peri-Urban / Open Land,0.37,2.64,0.3,0,0.0,0.0
VJA,VJA_0031,Mangalagiri Foothills,16.45675,80.56235,62.0,4.03,5.0,1.23,4260.6,4260.6,4260.6,Peri-Urban / Open Land,0.22,3.35,0.32,0,0.0,0.0
VJA,VJA_0032,Mangalagiri Foothills,16.45675,80.56705,77.9,6.15,5.0,1.2,4319.1,4319.1,4319.1,Urban Medium Density,0.68,5.82,0.52,0,0.0,0.0
VJA,VJA_0033,Mangalagiri Foothills,16.45675,80.57175,83.6,6.46,5.0,1.14,4433.9,4433.9,4433.9,Urban Medium Density,0.52,6.39,0.39,0,0.0,0.0
VJA,VJA_0034,Mangalagiri Foothills,16.45675,80.57645,41.0,7.93,5.0,1.04,4600.7,4600.7,4600.7,Urban Medium Density,0.57,5.27,0.54,0,0.0,0.0
VJA,VJA_0035,Mangalagiri Foothills,16.45675,80.58115,73.8,4.95,5.0,0.93,4814.1,4814.1,4814.1,Urban Medium Density,0.54,7.73,0.59,0,0.0,0.0
VJA,VJA_0036,Mangalagiri Foothills,16.45675,80.58585,78.3,4.37,5.0,0.78,5068.3,5068.3,5068.3,Urban Medium Density,0.58,8.99,0.42,0,0.0,0.0
VJA,VJA_0037,Mangalagiri Foothills,16.45675,80.59055,52.3,8.52,5.0,0.62,5357.4,5357.4,5357.4,Urban Medium Density,0.5,7.66,0.41,0,0.0,0.0
VJA,VJA_0038,Mangalagiri Foothills,16.45675,80.59525,72.5,8.75,5.0,0.45,5676.0,5676.0,5676.0,Urban Medium Density,0.46,7.86,0.4,0,0.0,0.0
VJA,VJA_0039,Tadepalle (Amaravati),16.45675,80.59995,19.1,1.55,27.9,0.48,5613.4,5613.4,5613.4,Urban Medium Density,0.54,7.09,0.51,2,0.2,45.0
VJA,VJA_0040,Tadepalle (Amaravati),16.45675,80.60465,19.4,0.53,26.7,0.5,5587.7,5587.7,5587.7,Urban Medium Density,0.7,5.49,0.57,1,0.1,36.2
VJA,VJA_0041,Tadepalle (Amaravati),16.45675,80.60935,18.9,2.69,28.7,0.55,5484.0,5484.0,5484.0,Urban Medium Density,0.59,5.01,0.55,1,0.1,39.1
VJA,VJA_0042,Tadepalle (Amaravati),16.45675,80.61405,16.4,2.77,38.7,0.6,5402.5,5402.5,5402.5,Urban Medium Density,0.55,7.16,0.5,2,0.2,34.9
VJA,VJA_0043,Tadepalle (Amaravati),16.45675,80.61875,17.8,1.93,33.1,0.62,5366.8,5366.8,5366.8,Urban Medium Density,0.67,8.87,0.5,1,0.1,59.7
VJA,VJA_0044,Tadepalle (Amaravati),16.45675,80.62345,19.9,0.41,24.7,0.61,5377.8,5377.8,5377.8,Urban Medium Density,0.53,8.18,0.4,2,0.2,37.7
VJA,VJA_0045,Tadepalle (Amaravati),16.45675,80.62815,17.7,2.86,33.5,0.58,5435.1,5435.1,5435.1,Urban Medium Density,0.58,8.11,0.58,1,0.1,48.0
VJA,VJA_0046,Tadepalle (Amaravati),16.45675,80.63285,17.6,1.69,33.9,0.52,5537.3,5537.3,5537.3,Urban Medium Density,0.69,7.39,0.42,1,0.1,37.1
VJA,VJA_0047,Tadepalle (Amaravati),16.45675,80.63755,17.9,1.3,32.7,0.44,5682.1,5682.1,5682.1,Urban Medium Density,0.55,5.0,0.56,2,0.2,45.0
VJA,VJA_0048,Tadepalle (Amaravati),16.45675,80.64225,18.5,2.6,30.3,0.52,5536.0,5536.0,5536.0,Urban Medium Density,0.65,5.6,0.58,2,0.2,30.8
VJA,VJA_0049,Patamata / Benz Circle,16.45675,80.64695,21.9,5.88,16.7,0.75,5131.2,5131.2,5131.2,Urban Medium Density,0.66,8.51,0.49,0,0.0,0.0
VJA,VJA_0050,Patamata / Benz Circle,16.45675,80.65165,21.8,8.29,17.2,0.96,4744.9,4744.9,4744.9,Urban Medium Density,0.56,8.42,0.57,0,0.0,0.0
VJA,VJA_0051,Patamata / Benz Circle,16.45675,80.65635,24.7,4.25,5.6,1.17,4381.8,4381.8,4381.8,Urban Medium Density,0.49,7.57,0.54,0,0.0,0.0
VJA,VJA_0052,Patamata / Benz Circle,16.45675,80.66105,22.8,7.2,13.2,1.35,4048.4,4048.4,4048.4,Urban Medium Density,0.48,6.63,0.37,0,0.0,0.0
VJA,VJA_0053,Patamata / Benz Circle,16.45675,80.66575,24.6,2.74,6.1,1.52,3752.5,3752.5,3752.5,Urban Medium Density,0.46,6.91,0.54,0,0.0,0.0
VJA,VJA_0054,Patamata / Benz Circle,16.45675,80.67045,20.0,8.3,24.5,1.65,3503.5,3503.5,3503.5,Urban Medium Density,0.48,5.83,0.59,0,0.0,0.0
VJA,VJA_0055,Patamata / Benz Circle,16.45675,80.67515,22.0,4.78,16.5,1.76,3312.2,3312.2,3312.2,Urban Medium Density,0.59,8.63,0.39,0,0.0,0.0
VJA,VJA_0056,Patamata / Benz Circle,16.45675,80.67985,21.9,7.52,17.0,1.96,2955.5,2955.5,2955.5,Urban Medium Density,0.48,5.38,0.41,0,0.0,0.0
VJA,VJA_0057,Patamata / Benz Circle,16.45675,80.68455,20.5,6.59,22.7,2.15,2613.9,2613.9,2613.9,Urban Medium Density,0.67,7.79,0.57,0,0.0,0.0
VJA,VJA_0058,Patamata / Benz Circle,16.45675,80.68925,25.2,4.15,5.0,2.31,2330.7,2330.7,2330.7,Urban Medium Density,0.53,5.51,0.53,0,0.0,0.0
VJA,VJA_0059,Patamata / Benz Circle,16.45675,80.69395,22.0,8.62,16.8,2.42,2129.4,2129.4,2129.4,Peri-Urban / Open Land,0.32,3.18,0.16,0,0.0,0.0
VJA,VJA_0060,Patamata / Benz Circle,16.45675,80.69865,23.9,8.14,9.2,2.47,2034.4,2034.4,2034.4,Peri-Urban / Open Land,0.21,3.29,0.2,0,0.0,0.0
VJA,VJA_0061,Mangalagiri Foothills,16.46125,80.56235,76.3,5.96,5.0,1.51,3761.2,3761.2,3761.2,Urban Medium Density,0.58,8.4,0.52,0,0.0,0.0
VJA,VJA_0062,Mangalagiri Foothills,16.46125,80.56705,65.2,5.08,5.0,1.47,3827.4,3827.4,3827.4,Urban Medium Density,0.7,5.05,0.58,0,0.0,0.0
VJA,VJA_0063,Mangalagiri Foothills,16.46125,80.57175,54.1,4.92,5.0,1.4,3956.4,3956.4,3956.4,Urban Medium Density,0.63,7.56,0.48,0,0.0,0.0
VJA,VJA_0064,Mangalagiri Foothills,16.46125,80.57645,59.1,4.69,5.0,1.3,4142.5,4142.5,4142.5,Urban Medium Density,0.59,7.73,0.37,0,0.0,0.0
VJA,VJA_0065,Mangalagiri Foothills,16.46125,80.58115,56.7,8.42,5.0,1.17,4378.3,4378.3,4378.3,Urban Medium Density,0.49,8.37,0.57,0,0.0,0.0
VJA,VJA_0066,Mangalagiri Foothills,16.46125,80.58585,54.0,3.78,5.0,1.01,4656.3,4656.3,4656.3,Urban Medium Density,0.54,5.76,0.5,0,0.0,0.0
VJA,VJA_0067,Mangalagiri Foothills,16.46125,80.59055,43.7,5.47,5.0,0.84,4969.4,4969.4,4969.4,Urban Medium Density,0.49,6.47,0.53,0,0.0,0.0
VJA,VJA_0068,Mangalagiri Foothills,16.46125,80.59525,40.8,5.33,5.0,0.72,5192.3,5192.3,5192.3,Urban Medium Density,0.67,7.76,0.43,0,0.0,0.0
VJA,VJA_0069,Tadepalle (Amaravati),16.46125,80.59995,20.0,2.4,24.3,0.76,5115.6,5115.6,5115.6,Urban Medium Density,0.6,7.72,0.54,1,0.1,34.6
VJA,VJA_0070,Tadepalle (Amaravati),16.46125,80.60465,20.5,2.27,22.3,0.77,5087.3,5087.3,5087.3,Urban Medium Density,0.54,8.6,0.53,2,0.2,32.0
VJA,VJA_0071,Tadepalle (Amaravati),16.46125,80.60935,18.2,0.81,31.6,0.82,4995.6,4995.6,4995.6,Urban Medium Density,0.66,8.69,0.4,1,0.1,59.6
VJA,VJA_0072,Tadepalle (Amaravati),16.46125,80.61405,16.5,1.61,38.4,0.87,4906.0,4906.0,4906.0,Urban Medium Density,0.48,7.92,0.46,2,0.2,36.0
VJA,VJA_0073,Tadepalle (Amaravati),16.46125,80.61875,18.3,3.3,31.2,0.9,4866.6,4866.6,4866.6,Urban Medium Density,0.52,8.18,0.55,1,0.1,54.0
VJA,VJA_0074,Tadepalle (Amaravati),16.46125,80.62345,16.5,3.27,38.4,0.89,4878.7,4878.7,4878.7,Urban Medium Density,0.54,6.77,0.54,1,0.1,59.7
VJA,VJA_0075,Tadepalle (Amaravati),16.46125,80.62815,20.0,2.49,24.4,0.85,4941.8,4941.8,4941.8,Urban Medium Density,0.47,5.97,0.36,1,0.1,48.2
VJA,VJA_0076,Tadepalle (Amaravati),16.46125,80.63285,20.6,2.28,21.9,0.79,5054.0,5054.0,5054.0,Urban Medium Density,0.49,7.54,0.47,2,0.2,39.8
VJA,VJA_0077,Tadepalle (Amaravati),16.46125,80.63755,19.2,0.53,27.5,0.7,5212.3,5212.3,5212.3,Urban Medium Density,0.54,9.0,0.5,1,0.1,56.9
VJA,VJA_0078,Patamata / Benz Circle,16.46125,80.64225,20.4,4.13,22.7,0.67,5268.2,5268.2,5268.2,Urban Medium Density,0.46,5.38,0.6,0,0.0,0.0
VJA,VJA_0079,Patamata / Benz Circle,16.46125,80.64695,21.4,7.53,18.8,0.91,4841.1,4841.1,4841.1,Urban Medium Density,0.56,8.88,0.37,0,0.0,0.0
VJA,VJA_0080,Patamata / Benz Circle,16.46125,80.65165,20.7,5.5,21.6,1.14,4429.5,4429.5,4429.5,Urban Medium Density,0.7,7.96,0.49,0,0.0,0.0
VJA,VJA_0081,Patamata / Benz Circle,16.46125,80.65635,24.1,6.08,8.0,1.36,4038.2,4038.2,4038.2,Urban Medium Density,0.56,7.42,0.37,0,0.0,0.0
VJA,VJA_0082,Patamata / Benz Circle,16.46125,80.66105,25.0,2.9,5.0,1.56,3673.7,3673.7,3673.7,Urban Medium Density,0.52,5.18,0.38,0,0.0,0.0
VJA,VJA_0083,Patamata / Benz Circle,16.46125,80.66575,25.4,4.7,5.0,1.74,3344.8,3344.8,3344.8,Urban Medium Density,0.66,7.66,0.39,0,0.0,0.0
VJA,VJA_0084,Patamata / Benz Circle,16.46125,80.67045,21.4,4.26,19.0,1.9,3062.9,3062.9,3062.9,Urban Medium Density,0.61,7.45,0.5,0,0.0,0.0
VJA,VJA_0085,Patamata / Benz Circle,16.46125,80.67515,25.8,8.78,5.0,2.02,2842.1,2842.1,2842.1,Urban Medium Density,0.63,6.02,0.41,0,0.0,0.0
VJA,VJA_0086,Patamata / Benz Circle,16.46125,80.67985,24.9,7.56,5.1,2.13,2637.1,2637.1,2637.1,Urban Medium Density,0.5,6.84,0.44,0,0.0,0.0
VJA,VJA_0087,Patamata / Benz Circle,16.46125,80.68455,22.8,6.28,13.6,2.35,2247.6,2247.6,2247.6,Urban Medium Density,0.57,7.78,0.55,0,0.0,0.0
VJA,VJA_0088,Patamata / Benz Circle,16.46125,80.68925,24.2,2.92,8.1,2.54,1910.9,1910.9,1910.9,Urban Medium Density,0.56,8.24,0.39,0,0.0,0.0
VJA,VJA_0089,Patamata / Benz Circle,16.46125,80.69395,23.4,4.33,11.4,2.68,1659.5,1659.5,1659.5,Peri-Urban / Open Land,0.27,3.75,0.16,0,0.0,0.0
VJA,VJA_0090,Patamata / Benz Circle,16.46125,80.69865,20.9,8.65,21.5,2.75,1535.7,1535.7,1535.7,Peri-Urban / Open Land,0.32,4.89,0.26,0,0.0,0.0
VJA,VJA_0091,Mangalagiri Foothills,16.46575,80.56235,69.7,8.95,5.0,1.79,3262.1,3262.1,3262.1,Urban Medium Density,0.54,5.23,0.47,0,0.0,0.0
VJA,VJA_0092,Mangalagiri Foothills,16.46575,80.56705,44.5,4.59,5.0,1.75,3338.2,3338.2,3338.2,Urban Medium Density,0.6,8.3,0.36,0,0.0,0.0
VJA,VJA_0093,Mangalagiri Foothills,16.46575,80.57175,76.1,8.99,5.0,1.66,3485.4,3485.4,3485.4,Urban Medium Density,0.66,8.81,0.44,0,0.0,0.0
VJA,VJA_0094,Mangalagiri Foothills,16.46575,80.57645,49.8,4.98,5.0,1.55,3695.3,3695.3,3695.3,Urban Medium Density,0.47,8.63,0.49,0,0.0,0.0
VJA,VJA_0095,Mangalagiri Foothills,16.46575,80.58115,67.2,7.83,5.0,1.4,3957.8,3957.8,3957.8,Urban Medium Density,0.5,8.74,0.48,0,0.0,0.0
VJA,VJA_0096,Mangalagiri Foothills,16.46575,80.58585,74.4,4.85,5.0,1.23,4263.3,4263.3,4263.3,Urban Medium Density,0.57,6.65,0.5,0,0.0,0.0
VJA,VJA_0097,Mangalagiri Foothills,16.46575,80.59055,45.2,5.18,5.0,1.04,4603.2,4603.2,4603.2,Urban Medium Density,0.54,5.99,0.51,0,0.0,0.0
VJA,VJA_0098,Tadepalle (Amaravati),16.46575,80.59525,20.8,2.87,21.2,0.99,4703.1,4703.1,4703.1,Urban Medium Density,0.69,6.8,0.45,1,0.1,36.2
VJA,VJA_0099,Tadepalle (Amaravati),16.46575,80.59995,20.0,1.3,24.4,1.03,4618.3,4618.3,4618.3,Urban Medium Density,0.63,6.34,0.36,1,0.1,42.1
VJA,VJA_0100,Tadepalle (Amaravati),16.46575,80.60465,18.6,2.92,30.0,1.05,4586.9,4586.9,4586.9,Urban Medium Density,0.59,5.79,0.44,1,0.1,36.5
VJA,VJA_0101,Tadepalle (Amaravati),16.46575,80.60935,16.3,1.48,39.2,1.09,4509.7,4509.7,4509.7,Urban Medium Density,0.59,6.64,0.53,2,0.2,54.1
VJA,VJA_0102,Tadepalle (Amaravati),16.46575,80.61405,19.9,2.06,24.8,1.15,4410.3,4410.3,4410.3,Urban Medium Density,0.5,8.4,0.43,1,0.1,46.1
VJA,VJA_0103,Tadepalle (Amaravati),16.46575,80.61875,17.1,1.97,36.0,1.17,4366.4,4366.4,4366.4,Urban Medium Density,0.64,8.98,0.43,2,0.2,57.3
VJA,VJA_0104,Tadepalle (Amaravati),16.46575,80.62345,17.9,1.42,32.8,1.17,4379.9,4379.9,4379.9,Urban Medium Density,0.69,5.89,0.41,1,0.1,30.1
VJA,VJA_0105,Tadepalle (Amaravati),16.46575,80.62815,18.3,0.52,31.2,1.13,4450.1,4450.1,4450.1,Urban Medium Density,0.5,7.45,0.38,1,0.1,33.4
VJA,VJA_0106,Tadepalle (Amaravati),16.46575,80.63285,19.7,2.27,25.6,1.06,4574.4,4574.4,4574.4,Urban Medium Density,0.68,7.82,0.51,1,0.1,30.3
VJA,VJA_0107,Tadepalle (Amaravati),16.46575,80.63755,16.5,3.04,38.4,0.96,4748.6,4748.6,4748.6,Urban Medium Density,0.59,6.33,0.35,2,0.2,58.5
VJA,VJA_0108,Patamata / Benz Circle,16.46575,80.64225,24.9,6.77,5.0,0.84,4967.5,4967.5,4967.5,Urban Medium Density,0.67,5.63,0.54,0,0.0,0.0
VJA,VJA_0109,Patamata / Benz Circle,16.46575,80.64695,25.5,8.2,5.0,1.05,4587.3,4587.3,4587.3,Urban Medium Density,0.57,6.45,0.5,0,0.0,0.0
VJA,VJA_0110,Patamata / Benz Circle,16.46575,80.65165,23.0,4.54,12.4,1.29,4150.6,4150.6,4150.6,Urban Medium Density,0.47,8.98,0.51,0,0.0,0.0
VJA,VJA_0111,Patamata / Benz Circle,16.46575,80.65635,23.9,7.52,8.9,1.53,3730.2,3730.2,3730.2,Urban Medium Density,0.58,5.84,0.45,0,0.0,0.0
VJA,VJA_0112,Patamata / Benz Circle,16.46575,80.66105,20.5,2.54,22.5,1.75,3332.2,3332.2,3332.2,Urban Medium Density,0.54,6.44,0.41,0,0.0,0.0
VJA,VJA_0113,Patamata / Benz Circle,16.46575,80.66575,25.1,3.12,5.0,1.95,2965.6,2965.6,2965.6,Urban Medium Density,0.64,6.52,0.57,0,0.0,0.0
VJA,VJA_0114,Patamata / Benz Circle,16.46575,80.67045,22.5,5.77,14.7,2.13,2643.6,2643.6,2643.6,Urban Medium Density,0.7,7.8,0.41,0,0.0,0.0
VJA,VJA_0115,Patamata / Benz Circle,16.46575,80.67515,23.9,2.56,9.1,2.28,2384.3,2384.3,2384.3,Urban Medium Density,0.51,5.91,0.38,0,0.0,0.0
VJA,VJA_0116,Patamata / Benz Circle,16.46575,80.67985,24.3,3.63,7.6,2.37,2209.8,2209.8,2209.8,Urban Medium Density,0.61,7.83,0.44,0,0.0,0.0
VJA,VJA_0117,Patamata / Benz Circle,16.46575,80.68455,21.2,3.46,20.1,2.52,1942.2,1942.2,1942.2,Urban Medium Density,0.56,6.84,0.51,0,0.0,0.0
VJA,VJA_0118,Patamata / Benz Circle,16.46575,80.68925,22.7,8.78,14.3,2.74,1540.1,1540.1,1540.1,Urban Medium Density,0.53,7.93,0.39,0,0.0,0.0
VJA,VJA_0119,Patamata / Benz Circle,16.46575,80.69395,22.5,3.58,15.4,2.93,1214.1,1214.1,1214.1,Urban Medium Density,0.61,6.6,0.54,0,0.0,0.0
VJA,VJA_0120,Patamata / Benz Circle,16.46575,80.69865,24.4,6.03,8.0,3.02,1038.6,1038.6,1038.6,Peri-Urban / Open Land,0.26,3.54,0.17,0,0.0,0.0
VJA,VJA_0121,Mangalagiri Foothills,16.47025,80.56235,62.1,4.08,5.0,2.06,2763.5,2763.5,2763.5,Urban Medium Density,0.49,8.48,0.4,0,0.0,0.0
VJA,VJA_0122,Mangalagiri Foothills,16.47025,80.56705,61.1,7.27,5.0,2.02,2852.9,2852.9,2852.9,Urban Medium Density,0.5,7.48,0.41,0,0.0,0.0
VJA,VJA_0123,Mangalagiri Foothills,16.47025,80.57175,76.7,7.85,5.0,1.92,3023.8,3023.8,3023.8,Urban Medium Density,0.66,7.01,0.57,0,0.0,0.0
VJA,VJA_0124,Mangalagiri Foothills,16.47025,80.57645,71.9,4.08,5.0,1.79,3263.5,3263.5,3263.5,Urban Medium Density,0.64,8.56,0.59,0,0.0,0.0
VJA,VJA_0125,Mangalagiri Foothills,16.47025,80.58115,57.7,7.68,5.0,1.62,3558.0,3558.0,3558.0,Urban Medium Density,0.54,8.6,0.45,0,0.0,0.0
VJA,VJA_0126,Mangalagiri Foothills,16.47025,80.58585,72.1,4.86,5.0,1.44,3895.0,3895.0,3895.0,Urban Medium Density,0.51,6.52,0.39,0,0.0,0.0
VJA,VJA_0127,Tadepalle (Amaravati),16.47025,80.59055,19.4,2.38,26.8,1.23,4264.3,4264.3,4264.3,Urban Medium Density,0.45,8.21,0.38,1,0.1,36.2
VJA,VJA_0128,Tadepalle (Amaravati),16.47025,80.59525,19.8,2.73,25.2,1.26,4216.6,4216.6,4216.6,Urban Medium Density,0.57,5.04,0.43,1,0.1,41.5
VJA,VJA_0129,Tadepalle (Amaravati),16.47025,80.59995,20.2,2.32,23.6,1.31,4121.7,4121.7,4121.7,Urban Medium Density,0.47,7.32,0.46,2,0.2,35.4
VJA,VJA_0130,Tadepalle (Amaravati),16.47025,80.60465,17.2,2.96,35.6,1.33,4086.6,4086.6,4086.6,Urban Medium Density,0.64,7.68,0.38,1,0.1,59.3
VJA,VJA_0131,Tadepalle (Amaravati),16.47025,80.60935,21.0,2.88,20.4,1.36,4027.4,4027.4,4027.4,Urban Medium Density,0.54,5.59,0.57,2,0.2,55.1
VJA,VJA_0132,Tadepalle (Amaravati),16.47025,80.61405,18.0,2.4,32.4,1.42,3915.8,3915.8,3915.8,Urban Medium Density,0.56,6.62,0.48,1,0.1,35.0
VJA,VJA_0133,Tadepalle (Amaravati),16.47025,80.61875,17.2,3.46,35.7,1.45,3866.3,3866.3,3866.3,Urban Medium Density,0.61,8.54,0.4,1,0.1,58.6
VJA,VJA_0134,Tadepalle (Amaravati),16.47025,80.62345,20.0,1.32,24.5,1.44,3881.5,3881.5,3881.5,Urban Medium Density,0.6,8.36,0.39,1,0.1,41.4
VJA,VJA_0135,Tadepalle (Amaravati),16.47025,80.62815,17.9,1.65,32.8,1.4,3960.5,3960.5,3960.5,Urban Medium Density,0.54,6.78,0.42,1,0.1,35.0
VJA,VJA_0136,Tadepalle (Amaravati),16.47025,80.63285,19.3,0.77,27.2,1.32,4099.7,4099.7,4099.7,Urban Medium Density,0.57,7.57,0.36,2,0.2,46.1
VJA,VJA_0137,Krishnalanka (Riverfront),16.47025,80.63755,15.0,0.85,44.4,1.21,4293.3,4293.3,4293.3,Urban Medium Density,0.59,5.21,0.4,1,0.1,55.3
VJA,VJA_0138,Patamata / Benz Circle,16.47025,80.64225,23.7,4.46,9.6,1.08,4534.2,4534.2,4534.2,Urban Medium Density,0.51,5.39,0.58,0,0.0,0.0
VJA,VJA_0139,Patamata / Benz Circle,16.47025,80.64695,20.6,8.91,22.0,1.17,4376.2,4376.2,4376.2,Urban Medium Density,0.45,8.52,0.56,0,0.0,0.0
VJA,VJA_0140,Patamata / Benz Circle,16.47025,80.65165,22.9,5.23,12.8,1.42,3916.1,3916.1,3916.1,Urban Medium Density,0.57,8.31,0.59,0,0.0,0.0
VJA,VJA_0141,Patamata / Benz Circle,16.47025,80.65635,22.9,7.92,12.9,1.67,3467.3,3467.3,3467.3,Urban Medium Density,0.54,7.46,0.56,0,0.0,0.0
VJA,VJA_0142,Patamata / Benz Circle,16.47025,80.66105,21.2,7.0,19.8,1.91,3035.1,3035.1,3035.1,Urban Medium Density,0.58,5.71,0.57,0,0.0,0.0
VJA,VJA_0143,Patamata / Benz Circle,16.47025,80.66575,22.7,6.86,13.9,2.14,2627.4,2627.4,2627.4,Urban Medium Density,0.49,7.01,0.49,0,0.0,0.0
